コード,PER,PBR,EPS成長率,自社株買い,業種平均PER
1301,8.247817,0.713168,28.599999999999998,,19.03057
1332,14.24612,1.2751799,14.299999999999999,,19.03057
1333,8.862614,0.7931072,-47.3,,19.03057
1377,15.656301,1.0549408,83.1,,19.03057
1414,16.633781,2.3783057,6.2,,16.103048
1417,13.151762,1.0979773,,,16.103048
1419,70.43935,2.8823032,-28.799999999999997,,16.157451000000002
1515,18.6473,1.6293077,45.0,,15.285404499999999
1518,15.152332,1.453013,18.0,,10.00143825
1605,10.429332,0.8791979,58.099999999999994,,10.00143825
1662,8.78984,0.7938538,-79.4,,10.00143825
1663,13.919253,0.000117277516,-8.9,,13.919253
1719,9.813848,1.3532459,34.9,,16.103048
1720,8.859656,1.072635,36.9,,16.103048
1721,16.778154,1.5062217,47.4,,16.103048
1766,10.704252,1.2651504,-3.1,,9.660392
1801,11.888746,2.130173,4.8,,16.103048
1802,11.636393,1.6030545,116.3,,16.103048
1803,12.2709255,1.532363,396.6,,16.103048
1808,13.517541,1.2857544,68.5,,16.157451000000002
1812,12.372707,1.5844032,16.6,,16.103048
1820,8.857935,1.1088539,182.1,,16.103048
1833,10.958316,1.0493597,-7.1,,16.103048
1835,10.477518,1.0285792,-3.3000000000000003,,16.103048
1852,14.207905,1.5196,59.8,,16.103048
1860,11.889898,0.90191156,233.1,,16.103048
1861,10.739633,1.1603973,23.400000000000002,,16.103048
1870,10.5905075,1.1851164,15.4,,16.103048
1878,10.804574,2.1299345,-1.7999999999999998,,9.660392
1882,21.518135,1.436589,,,16.103048
1885,8.004346,1.3257136,6.7,,16.103048
1893,10.885491,1.9400555,3.1,,16.103048
1898,11.648886,1.263058,-49.5,,16.103048
1911,9.465842,0.6429597,41.0,,16.157451000000002
1925,8.069185,0.9732165,9.1,,9.660392
1926,12.96765,1.8182304,17.4,,16.103048
1928,8.504953,1.0127306,75.2,,16.157451000000002
1934,16.103048,1.0745494,152.5,,16.103048
1941,14.677505,1.0506189,3.6999999999999997,,16.103048
1942,16.953064,2.7300992,4.2,,16.103048
1944,18.753212,2.4963617,126.69999999999999,,16.103048
1950,12.14588,1.0511452,143.79999999999998,,16.103048
1951,16.827784,1.5058725,88.1,,16.103048
1952,11.161884,1.6724294,73.5,,16.103048
1959,14.172922,1.6326656,9.0,,16.103048
1961,46.17192,3.0375714,142.3,,16.103048
1963,12.898466,1.267976,107.4,,16.103048
1968,12.568249,1.1959302,109.00000000000001,,16.103048
1969,14.521718,2.623822,-28.499999999999996,,16.103048
1975,10.418413,1.889483,11.200000000000001,,16.103048
1979,16.040161,1.4186804,-28.4,,16.103048
1980,12.854661,2.646312,-4.6,,16.103048
2001,11.109813,0.8388071,-8.3,,19.03057
2002,17.911041,1.1001627,-19.5,,19.03057
2109,28.330177,0.98801225,9.8,,19.03057
2121,13.336434,1.1869591,312.0,,22.2654135
2124,17.432646,7.2114334,-2.6,,16.103048
2127,16.614132,4.3621607,33.800000000000004,,15.377857500000001
2146,19.296741,4.1901784,44.9,,16.103048
2154,14.497659,2.1316023,-44.7,,16.103048
2157,15.618934,2.2221751,-25.7,,16.157451000000002
2168,,0.47894144,,,16.103048
2175,,6.5199203,-5.4,,18.2721025
2181,14.984358,2.8953676,14.299999999999999,,16.103048
2201,12.0826025,1.483243,-11.700000000000001,,19.03057
2206,51.55105,1.5633606,47.0,,19.03057
2212,16.697102,1.4890397,2.1999999999999997,,19.03057
2220,3.4178383,0.80756,-93.7,,19.03057
2222,33.24514,9.213376,18.6,,19.03057
2229,21.691309,1.7793595,15.2,,19.03057
2264,17.290668,0.34731403,-3.4000000000000004,,19.03057
2267,19.03057,1.3731703,17.2,,19.03057
2269,32.98826,1.4988247,51.300000000000004,,19.03057
2270,7.0025344,0.90541124,62.0,,19.03057
2281,26.346386,0.9936772,-3.3000000000000003,,19.03057
2282,17.515923,1.1128136,-5.7,,19.03057
2292,9.681069,0.68356985,-0.8999999999999999,,19.03057
2296,14.278101,0.98291695,-3.9,,19.03057
2317,13.617694,3.8822534,3.1,,21.674925
2326,17.89673,3.2613485,29.099999999999998,,21.674925
2327,22.496586,2.5096147,1.9,,21.674925
2331,17.168102,1.481152,,,16.103048
2337,10.072482,1.4523518,23.7,,9.660392
2353,17.365662,4.1929717,29.299999999999997,,16.103048
2371,38.955566,11.295675,-6.7,,22.2654135
2379,16.133848,2.730064,-72.8,,22.2654135
2384,9.810764,1.8688025,58.9,,16.103048
2413,23.8735,2.8325949,,,18.2721025
2432,14.263561,1.0457132,198.5,,16.103048
2433,28.003477,1.2056059,,,22.2654135
2492,61.349037,5.081454,3.0,,21.674925
2501,79.635765,1.4627541,4831.4,,19.03057
2502,15.046823,0.80607927,108.89999999999999,,19.03057
2503,12.324291,1.7544209,161.9,,19.03057
2531,34.932186,1.5707273,-64.4,,19.03057
2579,33.876663,1.6636354,,,19.03057
2585,24.140532,5.0506167,-24.7,,19.03057
2587,15.676067,1.0374812,5.6000000000000005,,19.03057
2590,,1.431031,,,19.03057
2593,99.232315,1.944047,27.400000000000002,,19.03057
2602,7.910049,0.86822486,-79.3,,19.03057
2607,34.393085,1.5481668,71.6,,19.03057
2659,19.273064,1.3633008,4.6,,16.157451000000002
2664,26.532606,0.73908734,5.5,,18.2721025
2670,14.812837,1.7114414,10.4,,16.157451000000002
2678,,2.3507245,,,16.157451000000002
2681,10.207896,0.8844457,30.8,,16.157451000000002
